Date,High,Low,Open,Close,Volume,Adj Close
1/22/1999,0.488281012,0.388020992,0.4375,0.410156012,271468800,0.376517743
1/25/1999,0.458332986,0.410156012,0.442707986,0.453125,51048000,0.415962845
1/26/1999,0.467447996,0.411457986,0.458332986,0.417968988,34320000,0.383690178
1/27/1999,0.429688007,0.395832986,0.419270992,0.416667014,24436800,0.382494956
1/28/1999,0.419270992,0.41275999,0.416667014,0.41536501,22752000,0.381299704
1/29/1999,0.416667014,0.395832986,0.41536501,0.395832986,24403200,0.363369554
2/1/1999,0.40625,0.395832986,0.395832986,0.403645992,15470400,0.370541722
2/2/1999,0.40625,0.360677004,0.395832986,0.372395992,26409600,0.341854751
2/3/1999,0.385417014,0.364582986,0.367188007,0.380207986,7512000,0.349026024
2/4/1999,0.411457986,0.380207986,0.385417014,0.401042014,18192000,0.368151456
2/5/1999,0.416667014,0.39713499,0.407552004,0.41275999,13684800,0.378908306
2/8/1999,0.416667014,0.398438007,0.41536501,0.398438007,15408000,0.365760922
2/9/1999,0.408854008,0.377604008,0.40625,0.382813007,8697600,0.351417303
2/10/1999,0.393229008,0.372395992,0.382813007,0.378906012,14822400,0.347830832
2/11/1999,0.427082986,0.380207986,0.380207986,0.411457986,13224000,0.377713174
2/12/1999,0.4375,0.416667014,0.416667014,0.434895992,10972800,0.399228841
2/16/1999,0.460938007,0.393229008,0.442707986,0.4375,21100800,0.401619285
2/17/1999,0.432292014,0.40625,0.427082986,0.414063007,6772800,0.380104512
2/18/1999,0.432292014,0.408854008,0.427082986,0.420572996,7070400,0.386080533
2/19/1999,0.442707986,0.411457986,0.416667014,0.434895992,7536000,0.399228841
2/22/1999,0.447917014,0.414063007,0.442707986,0.4375,20524800,0.401619285
2/23/1999,0.467447996,0.421875,0.447917014,0.458332986,13809600,0.420743823
2/24/1999,0.546875,0.483072996,0.526041985,0.494792014,61276800,0.454212695
2/25/1999,0.53125,0.471354008,0.515625,0.479167014,14913600,0.439869136
2/26/1999,0.5,0.453125,0.484375,0.457031012,17260800,0.419548631
3/1/1999,0.479167014,0.4375,0.46875,0.45963499,9216000,0.421938837
3/2/1999,0.460938007,0.447917014,0.458332986,0.455729008,5524800,0.418353349
3/3/1999,0.458332986,0.421875,0.458332986,0.424479008,6139200,0.389666229
3/4/1999,0.447917014,0.411457986,0.445313007,0.41536501,5736000,0.381299704
3/5/1999,0.440104008,0.419270992,0.419270992,0.438802004,7876800,0.402814507
3/8/1999,0.458332986,0.419270992,0.427082986,0.445313007,7588800,0.408791572
3/9/1999,0.466145992,0.44400999,0.44400999,0.45963499,14318400,0.421938837
3/10/1999,0.466145992,0.445313007,0.466145992,0.451822996,23534400,0.414767712
3/11/1999,0.451822996,0.432292014,0.44400999,0.432292014,5428800,0.396838546
3/12/1999,0.434895992,0.416667014,0.434895992,0.424479008,9076800,0.389666229
3/15/1999,0.447917014,0.432292014,0.434895992,0.442707986,10881600,0.406400204
3/16/1999,0.450520992,0.424479008,0.445313007,0.42838499,7915200,0.393251866
3/17/1999,0.440104008,0.420572996,0.432292014,0.43099001,5136000,0.395643204
3/18/1999,0.442707986,0.421875,0.432292014,0.436197996,4632000,0.400424093
3/19/1999,0.450520992,0.434895992,0.434895992,0.4375,10531200,0.401619285
3/22/1999,0.447917014,0.424479008,0.44661501,0.424479008,3667200,0.389666229
3/23/1999,0.427082986,0.390625,0.427082986,0.398438007,16396800,0.365760922
3/24/1999,0.398438007,0.380207986,0.395832986,0.395832986,6086400,0.363369554
3/25/1999,0.416667014,0.393229008,0.394531012,0.401042014,4032000,0.368151456
3/26/1999,0.4375,0.40625,0.40625,0.436197996,8827200,0.400424093
3/29/1999,0.45963499,0.441406012,0.449218988,0.449218988,6595200,0.412377208
3/30/1999,0.454427004,0.408854008,0.450520992,0.411457986,6950400,0.377713174
3/31/1999,0.445313007,0.404947996,0.424479008,0.440104008,15360000,0.404009789
4/1/1999,0.442707986,0.419270992,0.440104008,0.427082986,3043200,0.392056644
4/5/1999,0.432292014,0.411457986,0.421875,0.414063007,9864000,0.380104512
4/6/1999,0.419270992,0.395832986,0.417968988,0.403645992,6969600,0.370541722
4/7/1999,0.440104008,0.403645992,0.40625,0.4375,8928000,0.401619285
4/8/1999,0.458332986,0.434895992,0.440104008,0.445313007,13012800,0.408791572
4/9/1999,0.447917014,0.434895992,0.447917014,0.4375,4862400,0.401619285
4/12/1999,0.432292014,0.411457986,0.432292014,0.419270992,3331200,0.384885281
4/13/1999,0.427082986,0.395832986,0.427082986,0.402343988,3614400,0.369346559
4/14/1999,0.410156012,0.390625,0.401042014,0.390625,4828800,0.358588725
4/15/1999,0.401042014,0.390625,0.401042014,0.401042014,3585600,0.368151456
4/16/1999,0.420572996,0.398438007,0.398438007,0.414063007,3892800,0.380104512
4/19/1999,0.419270992,0.390625,0.419270992,0.395832986,3129600,0.363369554
4/20/1999,0.411457986,0.38411501,0.395832986,0.388020992,6768000,0.356198221
4/21/1999,0.395832986,0.385417014,0.388020992,0.394531012,3748800,0.362174362
4/22/1999,0.395832986,0.373697996,0.395832986,0.377604008,22718400,0.34663552
4/23/1999,0.377604008,0.356770992,0.376302004,0.359375,12604800,0.329901606
4/26/1999,0.364582986,0.333332986,0.359375,0.341145992,12350400,0.313167691
4/27/1999,0.380207986,0.34375,0.348957986,0.377604008,22694400,0.34663552
4/28/1999,0.380207986,0.363281012,0.380207986,0.375,12009600,0.344245195
4/29/1999,0.377604008,0.367188007,0.376302004,0.375,4814400,0.344245195
4/30/1999,0.395832986,0.376302004,0.378906012,0.380207986,9931200,0.349026024
5/3/1999,0.38411501,0.372395992,0.38411501,0.382813007,3384000,0.351417303
5/4/1999,0.382813007,0.354167014,0.382813007,0.361979008,9604800,0.332291991
5/5/1999,0.369792014,0.34375,0.364582986,0.369792014,14457600,0.339464337
5/6/1999,0.375,0.351563007,0.367188007,0.36263001,3561600,0.332889646
5/7/1999,0.367188007,0.351563007,0.351563007,0.364582986,2500800,0.334682435
5/10/1999,0.372395992,0.361979008,0.361979008,0.364582986,1968000,0.334682435
5/11/1999,0.395832986,0.372395992,0.380207986,0.38411501,17174400,0.352612644
5/12/1999,0.39713499,0.382813007,0.388020992,0.395832986,16848000,0.363369554
5/13/1999,0.40625,0.394531012,0.395832986,0.395832986,6993600,0.363369554
5/14/1999,0.395832986,0.369792014,0.395832986,0.375,2846400,0.344245195
5/17/1999,0.393229008,0.36849001,0.369792014,0.393229008,3576000,0.36097908
5/18/1999,0.416667014,0.385417014,0.39713499,0.411457986,15153600,0.377713174
5/19/1999,0.445313007,0.386718988,0.429688007,0.393229008,45172800,0.36097908
5/20/1999,0.395832986,0.347656012,0.395832986,0.361979008,17817600,0.332291991
5/21/1999,0.356770992,0.34375,0.356770992,0.354167014,30350400,0.325120628
5/24/1999,0.364582986,0.347656012,0.356770992,0.35286501,16262400,0.323925495
5/25/1999,0.359375,0.351563007,0.354167014,0.355468988,13008000,0.326315939
5/26/1999,0.372395992,0.354167014,0.354167014,0.354167014,10473600,0.325120628
5/27/1999,0.356770992,0.351563007,0.356770992,0.351563007,8232000,0.322730273
5/28/1999,0.356770992,0.351563007,0.356770992,0.355468988,8865600,0.326315939
6/1/1999,0.356770992,0.348957986,0.354167014,0.356770992,9854400,0.327511162
6/2/1999,0.356770992,0.34375,0.356770992,0.34375,13012800,0.315558046
6/3/1999,0.355468988,0.348957986,0.35286501,0.35286501,4156800,0.323925495
6/4/1999,0.356770992,0.35286501,0.355468988,0.355468988,7891200,0.326315939
6/7/1999,0.364582986,0.356770992,0.357421994,0.359375,12513600,0.329901606
6/8/1999,0.375,0.359375,0.360677004,0.36849001,15331200,0.338269144
6/9/1999,0.382813007,0.369792014,0.369792014,0.375,9518400,0.344245195
6/10/1999,0.377604008,0.372395992,0.375,0.376302004,3609600,0.345440388
6/11/1999,0.377604008,0.355468988,0.376302004,0.36849001,6100800,0.338269144
6/14/1999,0.369792014,0.351563007,0.369141012,0.354167014,5164800,0.325120628
6/15/1999,0.356770992,0.348957986,0.354167014,0.354167014,4929600,0.325120628
6/16/1999,0.375,0.354167014,0.359375,0.364582986,6441600,0.334682435
6/17/1999,0.367188007,0.354167014,0.361979008,0.354167014,7492800,0.325120628
6/18/1999,0.356770992,0.341145992,0.356770992,0.341145992,15873600,0.313167691
6/21/1999,0.359375,0.342121989,0.351563007,0.359375,8347200,0.329901606
6/22/1999,0.359375,0.345052004,0.359375,0.35286501,19305600,0.323925495
6/23/1999,0.359375,0.345052004,0.348957986,0.359375,21091200,0.329901606
6/24/1999,0.361979008,0.348957986,0.361979008,0.351563007,11520000,0.322730273
6/25/1999,0.360677004,0.348957986,0.348957986,0.356770992,7353600,0.327511162
6/28/1999,0.36849001,0.354167014,0.36849001,0.361979008,10915200,0.332291991
6/29/1999,0.371093988,0.361979008,0.367188007,0.36588499,9268800,0.335877717
6/30/1999,0.398438007,0.369792014,0.377604008,0.398438007,26923200,0.365760922
7/1/1999,0.398438007,0.356770992,0.398438007,0.377604008,8899200,0.34663552
7/2/1999,0.404947996,0.375,0.382813007,0.404947996,22488000,0.371736944
7/6/1999,0.408854008,0.401042014,0.408854008,0.40625,19809600,0.372932285
7/7/1999,0.408854008,0.398438007,0.408854008,0.398438007,6312000,0.365760922
7/8/1999,0.414063007,0.388020992,0.401042014,0.407552004,18604800,0.374127448
7/9/1999,0.445313007,0.40625,0.40625,0.442057014,21172800,0.405802697
7/12/1999,0.481770992,0.450520992,0.46875,0.46224001,40104000,0.424330324
7/13/1999,0.470052004,0.442707986,0.467447996,0.463542014,13886400,0.425525576
7/14/1999,0.473957986,0.442707986,0.463542014,0.445313007,13795200,0.408791572
7/15/1999,0.463542014,0.447917014,0.449218988,0.447917014,13704000,0.411181986
7/16/1999,0.460938007,0.447917014,0.455729008,0.457031012,10387200,0.419548631
7/19/1999,0.45963499,0.442707986,0.458332986,0.445313007,4363200,0.408791572
7/20/1999,0.445313007,0.421875,0.445313007,0.4375,17875200,0.401619285
7/21/1999,0.432292014,0.411457986,0.432292014,0.424479008,11208000,0.389666229
7/22/1999,0.421875,0.401042014,0.421875,0.404947996,21326400,0.371736944
7/23/1999,0.416667014,0.403645992,0.403645992,0.404947996,8025600,0.371736944
7/26/1999,0.41536501,0.40625,0.41536501,0.40625,6052800,0.372932285
7/27/1999,0.408854008,0.401042014,0.40625,0.407552004,9859200,0.374127448
7/28/1999,0.419270992,0.404947996,0.40625,0.414063007,24422400,0.380104512
7/29/1999,0.419270992,0.403645992,0.40625,0.417968988,38880000,0.383690178
7/30/1999,0.429688007,0.416667014,0.417968988,0.419270992,45230400,0.384885281
8/2/1999,0.424479008,0.416667014,0.419270992,0.423177004,31334400,0.388471007
8/3/1999,0.423177004,0.408854008,0.423177004,0.41275999,25521600,0.378908306
8/4/1999,0.416667014,0.411457986,0.41536501,0.41275999,8995200,0.378908306
8/5/1999,0.419270992,0.40625,0.41275999,0.419270992,24057600,0.384885281
8/6/1999,0.420572996,0.416667014,0.417968988,0.419270992,18398400,0.384885281
8/9/1999,0.424479008,0.416667014,0.420572996,0.419270992,3105600,0.384885281
